Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
VFZ06G,1,Diesel,6.70,7.00,7.60,183,,74,84,6,715/2007*2017/1347Y,,0.00051,,107.00,,0.33,2625,,,,,,,,,,,,,,,
F557PT,1,Benzine,,,,,,,80,,,,,,1.70,,,3750,,,,,,,,,,,,,,,
G656VG,1,Benzine,5.20,6.20,7.90,146,,73,82,4,70/220*2003/76B,,,,57.00,,,4500,,,,,,,,,,,,,,,
H033SX,1,Elektriciteit,,,,,,71,,Z,715/2007*2017/1347AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
DKF57T,1,Benzine,,,,,,66,75,,"97/24/EC chapter 5 Annex I, as late",,,,2.60,,,4250,,,,,,,,,,,,,,,
H515SK,1,Benzine,5.70,6.80,8.70,158,,72,76,5,715/2007*630/2012J,,,,103.00,,,3750,,,,,,,,,,,,,,,
VFT73T,1,Diesel,7.40,7.40,7.30,193,,75,82,6,715/2007*2016/646ZF,,0.00013,,120.00,,0.51,2850,,,,,,,,,,,,,,,
57VHX9,1,Diesel,,,,,,,,4,,,0.04200,,85.00,,,,,,,,,,,,,,,,,,
H308TD,1,Benzine,5.60,6.70,8.50,159,,72,75,4,70/220*2006/96B,,,,118.00,,,3800,,,,,,,,,,,,,,,
H786SZ,1,Benzine,5.80,7.30,9.90,174,,71,86,4,70/220*2003/76B,,,,93.00,,,4875,,,,,,,,,,,,,,,
05MLTH,1,Benzine,,,,,,80,87,,,,,,35.00,,,4050,,,,,,,,,,,,,,,
VFZ64G,1,Diesel,,,,203,,74,77,5,715/2007*136/2014M,,,,75.00,,,2375,,,,,,,,,,,,,,,
DZK15G,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DZK55K,1,Elektriciteit,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,
81MLTG,1,Benzine,,,,,,,90,,,,,,44.00,,,3750,,,,,,,,,,,,,,,
H749HP,1,Benzine,,,,113,,73,78,6,715/2007*2017/1347AD,,,,66.00,,,3750,,135,,,,,,,,,,,,,
VBT20Z,1,Diesel,,,,232,,76,84,5,,,,,95.00,,,2850,,,,,,,,,,,,,,,
DZG81B,1,Elektriciteit,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,
F618VS,1,Benzine,,,,,,,76,,,,,,1.80,,,3750,,,,,,,,,,,,,,,
H077TB,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,51.00,,,,,,,,180.00,381,534,,,,,51.00,100.00,
VFZ64L,1,Diesel,,,,234,,74,85,6,,595/2009*2018/932D,,,132.00,,0.53,2625,,,,,,,,,,,,,,,
H539JL,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
H744LJ,1,Diesel,3.50,4.20,5.30,109,,73,79,6,715/2007*136/2014W,,0.00011,,132.00,,0.51,2813,,,,,,,,,,,,,,,
H396HG,1,Benzine,5.90,7.30,9.70,170,,73,83,5,715/2007*692/2008A,,0.00276,,128.00,,,3750,,,,,,,,,,,,,,,
H779PP,1,Benzine,3.80,4.40,5.50,103,,69,82,5,715/2007*692/2008A,,,,50.00,,,4500,,,,,,,,,,,,,,,
VFR92S,1,Diesel,6.70,7.00,7.60,183,,74,84,6,715/2007*2017/1347Y,,0.00051,,107.00,,0.33,2625,,,,,,,,,,,,,,,
H496ST,1,Elektriciteit,,,,,,71,,Z,715/2007*2018/1832AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
H550JJ,1,Diesel,3.90,4.50,5.60,119,,73,76,5,715/2007*195/2013J,,0.00012,,85.00,,0.51,3000,,,,,,,,,,,,,,,
DRL62N,1,Benzine,,,,,,66,81,,134/2014*2016/1824,,,,1.50,,,3125,,,,,,,,,,,,,,,
VFZ20K,1,Diesel,7.10,7.50,8.00,193,,70,82,6,715/2007*2016/646Y,,0.00064,,125.00,,0.47,2625,,,,,,,,,,,,,,,
D170PB,1,Benzine,,,,,,,73,,,,,,1.62,,,2750,,,,,,,,,,,,,,,
H225SV,1,Benzine,5.20,6.00,7.40,140,,74,78,5,715/2007*692/2008A,,,,90.00,,,3750,,,,,,,,,,,,,,,
H745JP,1,Benzine,3.90,4.00,3.90,92,,74,74,6,715/2007*2016/427W,,,,73.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H794GN,1,Benzine,4.50,5.40,6.90,125,,73,75,6,715/2007*136/2014W,,0.00032,,90.00,,,3750,,,,,,,,,,,,,,,
DZK37H,1,Benzine,,,,,,65,78,,97/24*2006/27/5,,,,1.30,,,2750,,,,,,,,,,,,,,,
VFX26X,1,Diesel,5.20,6.00,7.30,156,,73,77,6,715/2007*2015/45Y,,,,75.00,,0.50,2375,,,,,,,,,,,,,,,
H253NZ,1,Benzine,4.90,5.80,7.60,135,,73,78,5,715/2007*692/2008A,,,,55.00,,,4125,,,,,,,,,,,,,,,
H883SZ,1,Benzine,4.90,5.80,7.50,135,,73,82,6,715/2007*2015/45W,,,,73.60,,,3750,,,,,,,,,,,,,,,
DSF47N,1,Benzine,,,,,,65,80,,"(EU) No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZJ39V,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DXZ50S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
G974VB,1,Benzine,,,,138,,72,84,3,,,,,55.00,,,4125,,,,,,,,,,,,,,,
H544SX,1,Benzine,4.90,6.10,8.40,144,,72,73,5,715/2007*692/2008A,,,,103.00,,,3750,,,,,,,,,,,,,,,
H879SX,1,Benzine,4.90,6.00,7.70,136,,67,72,6,715/2007*2016/646W,,0.00238,,103.00,,,3750,,,,,,,,,,,,,,,
DXS62T,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
40BPN1,1,Diesel,,,,,,77,87,6,,595/2009*2018/932D,,,130.00,,,1350,,,,,,,,,,,,,,,
04MKST,1,Benzine,,,,,,,97,,,,,,128.00,,,5850,,,,,,,,,,,,,,,
H723TG,1,Diesel,,,,,,,,3,,,,,94.00,,,,,,,,,,,,,,,,,,
DXZ24H,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
12MLTF,1,Benzine,,,,,,74,87,,"(EU) 134/2014*(EU) 2016/1824",,,,82.40,,,3625,,,,,,,,,,,,,,,
H578SX,1,Benzine,5.50,6.40,7.90,144,,69,74,6,715/2007*2015/45W,,0.00104,,84.00,,,3375,,,,,,,,,,,,,,,
H061JH,1,Benzine,4.80,5.80,7.70,138,,71,73,4,70/220*2003/76B,,,,40.00,,,3563,,,,,,,,,,,,,,,
DXN09N,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
89MLJV,1,Benzine,,,,,,76,88,,134/2014*2018/295,,,,100.00,,,3875,,,,,,,,,,,,,,,
H394TB,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832AM,,,,,30.00,,,,,,,,,,,162.00,44,54,,8.00,60.00,OVC-HEV
H725SX,1,Benzine,5.60,6.80,9.00,159,,73,74,5,715/2007*692/2008A,,0.00328,,135.00,,,3937,,,,,,,,,,,,,,,
40MLTB,1,Benzine,,,,,,73,89,,"(EU) 134/2014*(EU)  2016/1824",,,,30.90,,,5375,,,,,,,,,,,,,,,
H002TD,1,Benzine,6.20,7.70,10.30,180,,71,75,5,715/2007*459/2012J,,0.00215,,135.00,,,3750,,,,,,,,,,,,,,,
H429SX,1,Diesel,,,,,,72,84,4,70/220*2003/76B,,,,116.00,,,2625,,,,,,,,,,,,,,,
DZK85N,1,Benzine,,,,,,65,75,,"EU No 134/2014*2016/1824",,,,1.90,,,3250,,,,,,,,,,,,,,,
H266FK,1,Benzine,5.10,5.60,6.60,130,,71,77,6,715/2007*2015/45W,,,,66.20,,,3750,,,,,,,,,,,,,,,
59MLTD,1,Benzine,,,,,,76,87,,134/2014*2018/295A1,,,,59.00,,,3875,,,,,,,,,,,,,,,
DZK08D,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.20,,,,,,,,,,,,,,,,,
DZK08G,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DZK62P,1,Elektriciteit,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,
G831JN,1,Diesel,5.00,6.00,7.80,159,,72,77,4,70/220*2003/76B,,0.00030,,100.00,,0.51,3000,,,,,,,,,,,,,,,
H339SN,1,Benzine,5.40,6.70,9.00,161,,73,83,4,70/220*2003/76B,,,,74.00,,,4500,,,,,,,,,,,,,,,
H735SZ,1,Benzine,4.90,5.90,7.50,136,,71,80,5,715/2007*630/2012J,,0.00090,,121.00,,,3750,,,,,,,,,,,,,,,
H674GZ,1,Benzine,4.40,5.00,6.10,116,,71,76,5,715/2007*692/2008F,,,,69.00,,,3750,,,,,,,,,,,,,,,
G910DD,1,Benzine,,,,143,,,,4,,,,,47.00,,,,,,,,,,,,,,,,,,
H398TB,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,28.00,,,,,,,,,,,179.00,41,49,,10.00,65.00,OVC-HEV
H751SX,1,Benzine,5.10,5.90,7.40,139,,72,75,4,70/220*2003/76B,,,,48.00,,,3900,,,,,,,,,,,,,,,
H775SZ,1,Benzine,6.90,8.30,10.70,193,,69,81,6,715/2007*136/2014W,,0.00033,,225.00,,,3750,,,,,,,,,,,,,,,
DZK21K,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZK75K,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
VFK33N,1,Diesel,5.50,6.00,6.70,156,,72,77,6,715/2007*2015/45Y,,,,110.00,,0.50,2375,,,,,,,,,,,,,,,
H985NN,1,Benzine,5.60,6.20,7.30,140,,71,75,6,715/2007*2015/45W,,0.00049,,84.00,,,3375,,,,,,,,,,,,,,,
DZD38X,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.60,,,,,,,,,,,,,,,,,
52LJF9,1,Benzine,4.10,4.70,5.60,110,,73,86,5,715/2007*692/2008A,,,,51.00,,,4125,,,,,,,,,,,,,,,
H889SZ,1,Diesel,6.00,6.70,7.90,177,,73,80,6,715/2007*136/2014Y,,0.00096,,110.00,,0.52,2625,,,,,,,,,,,,,,,
VDG20S,1,Diesel,7.00,7.30,7.80,187,,76,85,6,715/2007*136/2014Y,,0.00092,,115.00,,0.15,2625,,,,,,,,,,,,,,,
H443TB,1,Elektriciteit,,,,,,,,6,,,,,,55.00,,,,,,,,,,,,,,,55.00,83.00,OVC-HEV
H942SX,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,254.00,39,43,,48.00,105.00,OVC-HEV
G284PG,1,Diesel,5.90,7.60,10.60,200,,70,73,4,70/220*2006/96B,,0.00380,,165.00,,0.50,2850,,,,,,,,,,,,,,,
VFX70J,1,Diesel,,,,203,,73,79,5,715/2007*136/2014M,,,,114.00,,,2625,,,,,,,,,,,,,,,
05DTBB,1,Benzine,,,,,,,96,1,,,,,,,,4875,,,,,,,,,,,,,,,
98MLTK,1,Benzine,,,,,,,92,,,,,,53.00,,,4250,,,,,,,,,,,,,,,
50MLTF,1,Benzine,,,,,,73,90,,134/2014*2018/295A1,,,,50.20,,,4000,,,,,,,,,,,,,,,
H663SR,1,Diesel,,,,,,,87,3,,,,,79.00,,,3000,,,,,,,,,,,,,,,
H034NN,1,Benzine,3.70,4.20,5.00,95,,71,87,6,715/2007*2015/45W,,,,52.00,,,3750,,,,,,,,,,,,,,,
DZK69S,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
G994JZ,1,Benzine,,,,135,,67,67,6,715/2007*2017/1347AG,,,,103.00,,,2565,,,,,,,,,,,,,,,
86MJHL,1,Benzine,,,,,,,89,,,,,,78.00,,,3625,,,,,,,,,,,,,,,
DZK06S,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H289LD,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
DZK14P,1,Elektriciteit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D947GF,1,Benzine,,,,,,,77,,,,,,1.00,,,2625,,,,,,,,,,,,,,,
H620SP,1,Benzine,4.50,5.50,7.30,128,,73,74,5,715/2007*692/2008A,,,,44.00,,,3800,,,,,,,,,,,,,,,
DXV89J,1,Benzine,,2.60,,57,,66,76,,134/2014*2016/1824,,,,2.60,,,3250,,,,,,,,,,,,,,,
DZB89Z,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
H686SZ,2,Benzine,6.60,8.80,12.50,209,,71,73,4,70/220*2003/76B,,,,170.00,,,3600,,,,,,,,,,,,,,,
DZH92P,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
G917GF,1,Diesel,4.60,5.10,5.80,133,,68,75,6,715/2007*2017/1347BG,,,,140.00,,0.28,2850,,,,,,,,,,,,,,,
VFX36S,1,Diesel,7.60,7.80,8.10,204,,68,82,6,,595/2009*2018/932D,,,84.00,,,2850,,,,,,,,,,,,,,,
DXZ18S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
02JLFT,1,Benzine,5.00,6.00,7.70,144,,70,84,3,70/220*1999/102A,,,,63.00,,,4500,,,,,,,,,,,,,,,
57MLTH,1,Benzine,,,,,,78,88,,134/2014/EU,,,,18.02,,,3250,,,,,,,,,,,,,,,
H729TG,1,Diesel,6.00,7.20,9.40,190,,75,77,5,715/2007*195/2013M,,0.00006,,62.00,,0.50,2375,,,,,,,,,,,,,,,
H554SN,1,Benzine,4.50,5.50,7.30,128,,73,74,5,715/2007*692/2008A,,,,44.00,,,3800,,,,,,,,,,,,,,,
H537TF,1,Benzine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFX87Z,1,Diesel,7.50,8.30,9.70,218,,75,82,5,715/2007*136/2014M,,0.00030,,95.00,,0.40,2850,,,,,,,,,,,,,,,
H256SX,1,Benzine,4.40,5.00,6.10,116,,71,76,5,715/2007*692/2008F,,,,69.00,,,3750,,,,,,,,,,,,,,,
H640SB,1,Benzine,6.70,8.20,10.80,192,,74,100,6,715/2007*136/2014W,,0.00056,,375.00,,,3750,,,,,,,,,,,,,,,
DZK66F,1,Elektriciteit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88MLSZ,1,Elektriciteit,,,,,,,,,"EU No. 134/2014",,,,,40.00,,,,,,,,,,,,,,40.00,,,
H135SN,1,Elektriciteit,,,,,,67,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,154.00,231,316,,,,,,100.00,
01MKRR,1,Benzine,,,,,,78,90,,,,,,78.00,,,5125,,,,,,,,,,,,,,,
DZL44D,1,Benzine,,,,,,70,79,,"(EU) 218/295",,,,1.80,,,3000,,,,,,,,,,,,,,,
DZK94R,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H761PT,1,Benzine,,,,276,,73,84,6,,,,,211.00,,,3750,,,,,,,,,,,,,,,
V471SF,1,Benzine,,,,309,,75,87,6,,,,,295.00,,,3750,,,,,,,,,,,,,,,
DPG92X,1,Benzine,,,,,,66,81,,168/2013*134/2014,,,,1.50,,,3125,,,,,,,,,,,,,,,
H314TD,1,Benzine,5.10,6.70,9.40,155,,71,85,5,715/2007*692/2008A,,0.00158,,115.00,,,3750,,,,,,,,,,,,,,,
H843SV,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
H739ST,1,Benzine,4.80,6.00,8.00,137,,74,78,5,715/2007*692/2008F,,,,88.00,,,3750,,,,,,,,,,,,,,,
DXZ59S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DXZ46S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DZK45J,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
MXRN48,1,Benzine,,,,,,,81,,,,,,25.00,,,3600,,,,,,,,,,,,,,,
VFZ33L,1,Diesel,7.30,7.80,8.60,204,,78,77,6,715/2007*2016/646Y,,0.00120,,165.00,,0.50,2375,,,,,,,,,,,,,,,
DZD65S,1,Benzine,,,,,,68,80,,97/24*2006/27/5,,,,2.20,,,3625,,,,,,,,,,,,,,,
74MLTH,1,Benzine,,,,,,73,89,,"(EU) 134/2014*(EU) 2018/295",,,,54.00,,,4375,,,,,,,,,,,,,,,
H918TB,1,Benzine,5.40,6.30,7.90,147,,71,73,6,715/2007*2015/45W,,0.00113,,97.00,,,3750,,,,,,,,,,,,,,,
H431LL,1,Benzine,4.10,4.60,5.50,109,,70,83,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
DTJ18L,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
H115SZ,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
DVG31L,1,Benzine,,3.60,,82,,66,76,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
DLR14H,1,Benzine,,,,,,65,73,,"97/24/EC amend.2009/108/EC chapter5",,,,1.80,,,3500,,,,,,,,,,,,,,,
H035SR,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
H172SX,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,154.00,449,619,,,,,,150.00,
DXX98J,1,Benzine,,,,,,66,81,,134/2014*2018/295A1,,,,1.50,,,3125,,,,,,,,,,,,,,,
H847SK,1,Benzine,5.20,6.50,8.60,150,,73,79,6,715/2007*2015/45W,,,,91.50,,,3750,,,,,,,,,,,,,,,
DZJ07H,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
H653TB,1,Benzine,5.00,5.70,6.80,130,,70,74,6,715/2007*2016/646W,,0.00023,,110.00,,,3750,,,,,,,,,,,,,,,
H009TD,1,Benzine,4.50,5.50,7.30,128,,73,74,5,715/2007*692/2008A,,,,44.00,,,3800,,,,,,,,,,,,,,,
H960ST,1,Benzine,4.90,5.60,6.80,128,,69,77,5,715/2007*195/2013J,,,,69.00,,,3750,,,,,,,,,,,,,,,
DVP23P,1,Benzine,,,,,,66,81,,134/2014*2018/295A1,,,,1.50,,,3125,,,,,,,,,,,,,,,
H404TB,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,28.00,,,,,,,,,,,160.00,56,59,,10.00,65.00,OVC-HEV
H722TG,1,Diesel,5.80,6.70,8.30,176,,74,77,5,715/2007*195/2013M,,0.00025,,84.00,,0.30,2375,,,,,,,,,,,,,,,
DZK58J,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
92MLTD,1,Benzine,,,,,,76,98,,134/2014*2018/295A1,,,,49.00,,,3000,,,,,,,,,,,,,,,
DZH80P,1,Benzine,,,,,,66,77,,97/24*2006/27/5,,,,2.00,,,3500,,,,,,,,,,,,,,,
H503SL,1,Elektriciteit,,,,,,71,,Z,715/2007*2017/1347AX,,,,,65.00,,,,,,,,160.00,560,682,,,,,,158.00,
H902ST,1,Benzine,5.30,6.20,7.80,143,,70,72,6,715/2007*136/2014W,,0.00268,,110.00,,,3750,,,,,,,,,,,,,,,
DZL46D,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H817JT,1,Diesel,5.40,6.60,8.70,175,,75,76,4,70/220*2003/76B,,0.00110,,120.00,,0.51,3000,,,,,,,,,,,,,,,
DVS57R,1,Benzine,,,,,,66,76,,"EU no 134/2014 amended by2016/1824",,,,1.80,,,3250,,,,,,,,,,,,,,,
H946SF,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
DVX66P,1,Benzine,,,,,,66,78,,"no 134/2014",,,,1.90,,,3250,,,,,,,,,,,,,,,
H978SX,1,Benzine,4.50,5.10,6.00,116,,68,73,6,715/2007*2018/1832DG,,,,74.00,,,3750,,135,,6.00,,,,,,,,,,,
H919NR,1,Benzine,,,,125,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,,147,,,,,,,,,,,,,
H160SR,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
VB285J,1,Diesel,4.20,4.60,5.20,119,,72,79,5,715/2007*566/2011L,,0.00001,,55.00,,0.51,3000,,,,,,,,,,,,,,,
H787HN,1,Elektriciteit,,,,,,,,,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
H898RK,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,51.00,,,,,,,,,,,,382,535,,51.00,100.00,
H591TB,1,Benzine,3.80,4.40,5.50,103,,69,82,5,715/2007*692/2008A,,,,50.00,,,4500,,,,,,,,,,,,,,,
H855SZ,1,Diesel,6.00,6.70,7.90,177,,74,80,6,715/2007*2015/45Y,,0.00057,,110.00,,0.52,2625,,,,,,,,,,,,,,,
DXZ61S,1,Elektriciteit,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,
H093SJ,1,Benzine,4.50,5.60,7.50,130,,74,76,6,715/2007*195/2013W,,0.00011,,90.00,,,3750,,,,,,,,,,,,,,,
H475JR,1,Benzine,3.30,3.30,3.10,75,,73,74,6,715/2007*2015/45W,,,,54.00,,,2500,,,,,,,,,,,,,,,
DZL50D,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
G768JR,1,Benzine,6.90,9.00,12.60,210,,74,86,5,715/2007*692/2008A,,0.00100,,250.00,,,3750,,,,,,,,,,,,,,,
H468SZ,1,Benzine,,,,,,80,88,,,,,,15.00,,,3000,,,,,,,,,,,,,,,
VFZ78L,1,Diesel,7.20,8.30,10.00,218,,77,84,6,715/2007*2015/45Y,,0.00084,,105.00,,0.04,2850,,,,,,,,,,,,,,,
G489RH,1,Benzine,5.80,7.30,9.90,174,,71,86,4,70/220*2003/76B,,,,93.00,,,4875,,,,,,,,,,,,,,,
VFX39V,1,Diesel,8.10,9.70,12.50,253,,75,81,6,,595/2009*627/2014C,,,140.00,,,2850,,,,,,,,,,,,,,,
H733TB,1,Benzine,5.10,5.60,6.60,129,,70,73,6,715/2007*2016/646W,,0.00050,,85.00,,,3375,,,,,,,,,,,,,,,
H677KG,1,Benzine,4.90,5.80,7.30,136,,71,81,6,715/2007*136/2014W,,0.00210,,88.00,,,3750,,,,,,,,,,,,,,,
H038SR,1,Elektriciteit,,,,,,,,6,,,,,,37.00,,,,,,,,,,,,,,,37.00,53.00,NOVC-HEV
08MLTF,1,Benzine,,,,,,75,97,,134/2014*2018/295A1,,,,92.20,,,4750,,,,,,,,,,,,,,,
87MLSV,1,Benzine,,,,,,79,92,,134/2014/EU,,,,34.90,,,3625,,,,,,,,,,,,,,,
VFX22S,1,Diesel,8.00,10.70,14.80,280,,76,80,6,,595/2009*2018/932D,,,140.00,,,2850,,,,,,,,,,,,,,,
DZJ70B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
H734SX,1,Benzine,4.00,4.70,5.90,105,,71,87,6,715/2007*2015/45W,,,,52.00,,,3750,,,,,,,,,,,,,,,
H450SV,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
H456SZ,1,Elektriciteit,,,,,,68,,Z,715/2007*2017/1347AX,,,,,70.00,,,,,,,,,,,,,,,40.00,141.00,
DXK67L,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
H801RT,1,Benzine,3.90,4.50,5.60,105,,71,78,5,715/2007*566/2011F,,,,44.00,,,3750,,,,,,,,,,,,,,,
09BPN1,1,Diesel,,,,,,78,88,5,,2005/55*2008/74G,,,132.00,,,1800,,,,,,,,,,,,,,,
DZK48J,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
DBN34P,1,Benzine,,,,,,,75,,,,,,3.04,,,3625,,,,,,,,,,,,,,,
H327NP,1,Benzine,3.80,4.20,5.00,97,,72,76,6,715/2007*2015/45W,,,,51.00,,,3750,,,,,,,,,,,,,,,
DZD59N,1,Benzine,,3.60,,82,,66,76,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
ZJ154Z,1,Diesel,,,,153,,68,78,5,715/2007*566/2011F,,0.00010,,103.00,,0.60,2375,,,,,,,,,,,,,,,
H857TB,1,Benzine,4.60,5.40,6.90,126,,72,74,6,715/2007*136/2014W,,0.00032,,115.00,,,3750,,,,,,,,,,,,,,,
DZB16S,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
H616SV,1,Benzine,,,,,,80,85,,134/2014*2018/295A1,,,,19.30,,,3875,,,,,,,,,,,,,,,
H757LB,1,Benzine,5.50,6.10,7.30,138,,71,76,6,715/2007*2015/45W,,0.00328,,92.00,,,3750,,,,,,,,,,,,,,,
H641SV,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
H953SX,1,Elektriciteit,,,,,,,,6,,,,,,37.00,,,,,,,,,,,,,,,37.00,53.00,NOVC-HEV
DZK45S,1,Benzine,,,,,,65,81,,"no 134/2014*2018/295",,,,1.80,,,3250,,,,,,,,,,,,,,,
